tract_name,median_income,total_population,white_population,black_population,asian_population,state,county,tract,tract_geoid,white_pct,black_pct,asian_pct
Census Tract 40.05; Sacramento County; California,89271,4411,1694,667,985,06,067,004005,06067004005,0.38403990024937656,0.15121287689866245,0.2233053729313081
Census Tract 40.06; Sacramento County; California,74410,5318,1603,1127,1342,06,067,004006,06067004006,0.3014291086874765,0.21192177510342233,0.2523505077096653
Census Tract 40.08; Sacramento County; California,102586,3285,969,343,840,06,067,004008,06067004008,0.29497716894977166,0.10441400304414003,0.2557077625570776
Census Tract 40.11; Sacramento County; California,148856,3162,810,260,1654,06,067,004011,06067004011,0.25616698292220114,0.08222643896268185,0.5230866540164453
Census Tract 40.12; Sacramento County; California,159353,3866,1088,622,1288,06,067,004012,06067004012,0.28142783238489394,0.16088980858768753,0.3331608898085877
Census Tract 40.13; Sacramento County; California,99185,3693,1009,954,927,06,067,004013,06067004013,0.27321960465746004,0.25832656376929325,0.2510154346060114
Census Tract 40.14; Sacramento County; California,81667,2450,1129,292,241,06,067,004014,06067004014,0.4608163265306122,0.11918367346938775,0.09836734693877551
Census Tract 40.15; Sacramento County; California,96507,4440,1783,433,1206,06,067,004015,06067004015,0.4015765765765766,0.09752252252252253,0.2716216216216216
Census Tract 40.16; Sacramento County; California,162311,1899,878,36,621,06,067,004016,06067004016,0.4623486045286993,0.018957345971563982,0.32701421800947866
Census Tract 40.17; Sacramento County; California,97006,2459,805,359,741,06,067,004017,06067004017,0.32736884912566083,0.14599430662871085,0.3013420089467263
Census Tract 40.18; Sacramento County; California,66276,3143,582,308,1314,06,067,004018,06067004018,0.18517340120903594,0.09799554565701558,0.4180719058224626
Census Tract 40.19; Sacramento County; California,118571,2973,912,466,856,06,067,004019,06067004019,0.3067608476286579,0.1567440295997309,0.287924655230407
Census Tract 40.20; Sacramento County; California,61103,2272,707,442,357,06,067,004020,06067004020,0.31117957746478875,0.19454225352112675,0.15713028169014084
Census Tract 41; Sacramento County; California,67018,5765,941,1184,1250,06,067,004100,06067004100,0.1632263660017346,0.20537727666955768,0.2168256721595837
Census Tract 42.01; Sacramento County; California,89605,5958,1676,1173,991,06,067,004201,06067004201,0.2813024504867405,0.19687814702920442,0.16633098355152737
Census Tract 42.02; Sacramento County; California,68574,5356,452,1261,1058,06,067,004202,06067004202,0.08439133681852129,0.2354368932038835,0.19753547423450335
Census Tract 42.03; Sacramento County; California,74554,6249,1111,1084,1336,06,067,004203,06067004203,0.17778844615138423,0.17346775484077454,0.2137942070731317
Census Tract 43.01; Sacramento County; California,74000,5772,814,1009,1798,06,067,004301,06067004301,0.14102564102564102,0.1748094248094248,0.3115038115038115
Census Tract 43.02; Sacramento County; California,98094,4571,771,259,1789,06,067,004302,06067004302,0.1686720630059068,0.05666156202143951,0.3913804419164297
Census Tract 44.01; Sacramento County; California,65147,4067,837,991,720,06,067,004401,06067004401,0.20580280304893042,0.24366855175805263,0.1770346692894025
Census Tract 44.02; Sacramento County; California,54215,3979,761,476,720,06,067,004402,06067004402,0.1912540839406886,0.11962804724805227,0.18094998743402865
Census Tract 45.01; Sacramento County; California,55648,4340,520,211,1725,06,067,004501,06067004501,0.11981566820276497,0.04861751152073733,0.39746543778801846
Census Tract 45.02; Sacramento County; California,54327,4993,419,742,991,06,067,004502,06067004502,0.08391748447826958,0.1486080512717805,0.19847786901662326
Census Tract 46.02; Sacramento County; California,48986,5643,1209,685,448,06,067,004602,06067004602,0.21424774056353005,0.1213893319156477,0.07939039517986886
Census Tract 46.03; Sacramento County; California,47308,3504,288,379,985,06,067,004603,06067004603,0.0821917808219178,0.108162100456621,0.2811073059360731
Census Tract 46.04; Sacramento County; California,49596,5215,754,1156,968,06,067,004604,06067004604,0.14458293384467882,0.22166826462128475,0.18561840843720037
Census Tract 47.01; Sacramento County; California,49408,3510,220,489,943,06,067,004701,06067004701,0.06267806267806268,0.13931623931623932,0.26866096866096867
Census Tract 47.02; Sacramento County; California,54785,4830,1192,737,1204,06,067,004702,06067004702,0.24679089026915113,0.1525879917184265,0.2492753623188406
Census Tract 48.01; Sacramento County; California,58646,5963,562,639,2805,06,067,004801,06067004801,0.0942478618145229,0.10716082508804294,0.4704008049639443
Census Tract 48.02; Sacramento County; California,62846,5490,914,426,2023,06,067,004802,06067004802,0.16648451730418942,0.07759562841530054,0.368488160291439
Census Tract 49.04; Sacramento County; California,68868,6384,1003,791,1452,06,067,004904,06067004904,0.15711152882205515,0.12390350877192982,0.2274436090225564
Census Tract 49.06; Sacramento County; California,79261,3506,472,925,691,06,067,004906,06067004906,0.13462635482030805,0.26383342840844265,0.1970907016543069
Census Tract 49.07; Sacramento County; California,24386,2424,126,781,491,06,067,004907,06067004907,0.05198019801980198,0.3221947194719472,0.20255775577557755
